,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
0,El Potro Mexican Grill,9.0,7987.930021591283,1,0,0,0,0,0,0,0,0
1,Traif,9.0,3041.420337735676,1,1,1,0,0,0,0,0,0
2,Yummy Pho,9.0,3933.816872561907,1,1,0,0,0,0,0,0,0
3,The Fruit Stand,10.0,3190.2222808853094,0,0,0,0,0,0,0,0,0
4,Love Ramen,8.0,1768.051869885602,0,0,0,0,0,0,0,0,0
5,Rebol,9.0,3366.9645849869275,1,1,0,0,1,0,0,0,0
6,Buckeye Hibachi,7.0,17067.093609495216,1,1,0,0,0,0,0,0,0
7,3 Little Figs,9.0,5921.646448536696,1,0,0,0,1,0,0,0,0
8,Sal and Sons,9.0,3103.4947698751175,1,0,0,0,0,0,0,0,0
9,Itto's Tapas,9.0,7750.128588123778,1,0,0,0,0,0,0,0,0
10,Underdog Hot Chicken,9.0,5080.837875936225,1,1,0,0,0,0,0,0,0
11,Golden Dragon Restaurant,9.0,17745.015601014893,0,0,0,0,0,1,0,0,0
12,Mike and Tony's Gyros,9.0,7341.644769433101,1,0,0,0,0,0,0,0,0
13,Umami,8.0,23881.44430251994,0,0,0,0,0,0,0,0,0
14,Condado Tacos,7.0,13109.573502441814,0,0,0,0,0,0,0,0,0
15,Piada Italian Street Food,8.0,8512.529700913536,1,0,0,0,0,0,0,0,0
16,Stunod’s Pizzeria,9.0,16753.33413300676,1,1,0,0,0,0,0,1,0
17,Tamarind,8.0,2407.3050668970614,1,1,0,0,0,0,0,0,0
18,Saudia Shuler's Country Cookin',7.0,4252.315668841175,1,0,0,0,0,0,0,0,0
19,Troy's One Lucky Dog,10.0,13085.968685861782,1,0,0,0,0,0,0,0,1
20,Turk's Inn,9.0,6065.039785129357,0,1,0,0,0,0,0,0,0
21,D'Italia,9.0,19907.61912018205,1,0,0,0,0,0,0,0,0
22,Karls Balls,9.0,10730.812735968617,0,0,0,0,0,0,0,0,1
23,Made in DR,9.0,10152.267346656074,1,1,0,0,0,0,0,0,0
24,Don Peppe,8.0,15112.179354074398,1,0,0,0,0,0,0,0,0
25,The Village Table,8.0,2128.0123397987372,0,0,0,0,0,0,0,0,0
26,Mr Hook Fish & Chicken,8.0,4306.067267365758,1,1,0,0,0,0,0,0,0
27,Daifuku Ramen,9.0,6731.0868318878165,1,1,0,0,0,0,0,0,0
28,Gogi BBQ,8.0,5900.948486505372,1,1,0,0,0,0,0,0,0
29,Serious Pie Ballard,8.0,5339.103302591549,1,1,0,0,0,0,0,1,0
